,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-08-07,0.11249999701976776,0.11302100121974945,0.10625000298023224,0.10885400325059891,0.10885400325059891,40680000,AMZN,-0.20955352,0.11874999850988388,0.0,-0.009895995259284973
1997-08-13,0.11145800352096558,0.11145800352096558,0.10833299905061722,0.10989599674940109,0.10989599674940109,11808000,AMZN,-0.22849277,0.12760399281978607,0.0,-0.01770799607038498
1997-08-27,0.11536499857902527,0.11614599823951721,0.11249999701976776,0.11588499695062637,0.11588499695062637,27840000,AMZN,-0.2615141,0.1645829975605011,0.0,-0.048698000609874725
1997-09-03,0.1171879991889,0.12083300203084946,0.11562500149011612,0.1166670024394989,0.1166670024394989,39288000,AMZN,-0.26000193,0.21875,0.0,-0.1020829975605011
1997-09-12,0.15937499701976776,0.18489600718021393,0.15781299769878387,0.18437500298023224,0.18437500298023224,66672000,AMZN,-0.18964665,0.20078100264072415,0.0,-0.016405999660491916
1997-09-15,0.18333299458026886,0.18385399878025055,0.15260399878025055,0.1546880006790161,0.1546880006790161,111672000,AMZN,-0.17526849,0.20624999701976776,0.0,-0.05156199634075165
1997-09-18,0.171875,0.17343799769878387,0.1640630066394806,0.1645829975605011,0.1645829975605011,42576000,AMZN,-0.14423132,0.1875,0.0,-0.0229170024394989
1997-10-07,0.20416699349880219,0.20937499403953552,0.20208300650119781,0.20286500453948975,0.20286500453948975,34848000,AMZN,-0.04478813,0.24739600718021393,0.0,-0.04453100264072418
1997-10-14,0.203125,0.20520800352096558,0.19166700541973114,0.19895799458026886,0.19895799458026886,30936000,AMZN,-0.08695463,0.24791699647903442,0.0,-0.048959001898765564
1997-10-16,0.19895799458026886,0.19895799458026886,0.1802079975605011,0.18125000596046448,0.18125000596046448,69624000,AMZN,-0.10118237,0.2330729961395264,0.0,-0.05182299017906192
1997-10-20,0.18385399878025055,0.19374999403953552,0.18333299458026886,0.19114600121974945,0.19114600121974945,98256000,AMZN,-0.11280708,0.2104170024394989,0.0,-0.01927100121974945
1997-11-06,0.24583299458026886,0.24583299458026886,0.23177100718021393,0.23307299613952637,0.23307299613952637,58272000,AMZN,0.013527677,0.20624999701976776,0.0,0.026822999119758606
1997-11-07,0.22083300352096558,0.23203100264072418,0.2192710041999817,0.22395800054073334,0.22395800054073334,52536000,AMZN,0.0074442774,0.2135419994592667,0.0,0.010416001081466647
1997-12-02,0.21302099525928497,0.21510399878025055,0.20885400474071503,0.21171900629997253,0.21171900629997253,25248000,AMZN,-0.075377256,0.23125000298023224,0.0,-0.019530996680259705
1997-12-04,0.22005200386047363,0.2276040017604828,0.2192710041999817,0.22499999403953552,0.22499999403953552,60768000,AMZN,-0.08599038,0.22604200243949887,0.0,-0.0010420083999633512
1997-12-15,0.22916699945926666,0.23333300650119781,0.22031299769878387,0.22916699945926666,0.22916699945926666,33888000,AMZN,-0.09001135,0.23906299471855164,0.0,-0.009895995259284973
1997-12-22,0.22499999403953552,0.23906299471855164,0.2216150015592575,0.2348960041999817,0.2348960041999817,87048000,AMZN,-0.08549683,0.24375000596046448,0.0,-0.008854001760482788
1997-12-23,0.234375,0.23697899281978607,0.23125000298023224,0.23125000298023224,0.23125000298023224,23544000,AMZN,-0.08466337,0.24765600264072418,0.0,-0.016405999660491943
1997-12-24,0.23125000298023224,0.23541699349880219,0.22343799471855164,0.23020799458026886,0.23020799458026886,46728000,AMZN,-0.083370745,0.23958300054073334,0.0,-0.009375005960464478
1998-01-14,0.2328130006790161,0.24375000596046448,0.23125000298023224,0.24375000596046448,0.24375000596046448,170112000,AMZN,-0.040964205,0.24687500298023227,0.0,-0.003124997019767789
1998-01-16,0.24791699647903442,0.24895800650119781,0.23854200541973114,0.23958300054073334,0.23958300054073334,51264000,AMZN,-0.027817175,0.24270799756050113,0.0,-0.003124997019767789
1998-01-27,0.24088500440120697,0.2432290017604828,0.23333300650119781,0.23749999701976776,0.23749999701976776,82080000,AMZN,0.025500981,0.25364598631858826,0.0,-0.016145989298820496
1998-01-28,0.23749999701976776,0.2416670024394989,0.23125000298023224,0.23854200541973114,0.23854200541973114,105864000,AMZN,0.027239641,0.26145800948143005,0.0,-0.022916004061698914
1998-01-30,0.25,0.25312501192092896,0.24427099525928497,0.24583299458026886,0.24583299458026886,74448000,AMZN,0.027196653,0.27031299471855164,0.0,-0.024480000138282776
1998-02-04,0.25312501192092896,0.2593750059604645,0.25260400772094727,0.25312501192092896,0.25312501192092896,24696000,AMZN,0.025801383,0.3031249940395355,0.0,-0.04999998211860657
1998-02-05,0.25572898983955383,0.25572898983955383,0.24375000596046448,0.24687500298023224,0.24687500298023224,116640000,AMZN,0.024327083,0.3208329975605011,0.0,-0.07395799458026886
1998-02-10,0.24375000596046448,0.26588499546051025,0.2416670024394989,0.2651039958000183,0.2651039958000183,245928000,AMZN,0.015494569,0.3059900104999542,0.0,-0.04088601469993591
1998-02-11,0.2645829916000366,0.27317699790000916,0.2640630006790161,0.2645829916000366,0.2645829916000366,129480000,AMZN,0.017705325,0.3125,0.0,-0.04791700839996338
1998-02-13,0.26249998807907104,0.2635419964790344,0.2572920024394989,0.2593750059604645,0.2593750059604645,168408000,AMZN,0.020303588,0.34791699051856995,0.0,-0.08854198455810547
1998-03-05,0.2989580035209656,0.325780987739563,0.296875,0.3125,0.3125,240024000,AMZN,0.15566973,0.3447920083999634,0.0,-0.03229200839996338
1998-03-13,0.33177098631858826,0.3369790017604828,0.32395800948143005,0.32786500453948975,0.32786500453948975,130464000,AMZN,0.28367403,0.38749998807907104,0.0,-0.0596349835395813
1998-03-18,0.3302080035209656,0.3572919964790344,0.3302080035209656,0.3554689884185791,0.3554689884185791,273192000,AMZN,0.28344545,0.36927101016044617,0.0,-0.013802021741867065
1998-03-19,0.35572901368141174,0.36458298563957214,0.34895798563957214,0.3499999940395355,0.3499999940395355,242304000,AMZN,0.28810424,0.3968749940395355,0.0,-0.046875
